Time,True_Pitch,Sensor_Pitch
39.7,-0.470541567,-0.400696673
39.8,-0.313952598,-0.305737371
39.9,-0.157053795,0.01427542
40,-2.45E-15,-0.124119592
40.1,0.157053795,-0.117075258
40.2,0.313952598,0.343798575
40.3,0.470541567,0.353334279
40.4,0.626666168,0.555311401
40.5,0.782172325,0.766564987
40.6,0.936906573,1.014790538
40.7,1.090716207,1.10991543
40.8,1.243449436,1.295279875
40.9,1.39495553,1.289686143
41,1.545084972,1.590542717
41.1,1.693689601,1.657188084
41.2,1.840622763,1.85794944
41.3,1.985739453,2.050033961
41.4,2.128896458,1.984337635
41.5,2.269952499,2.34845494
41.6,2.408768371,2.474203341
41.7,2.545207079,2.476172486
41.8,2.679133975,2.547769956
41.9,2.810416889,3.032708235
42,2.938926261,2.826273136
42.1,3.064535268,3.035457998
42.2,3.187119949,3.271015412
42.3,3.306559327,3.247871347
42.4,3.42273553,3.548707952
42.5,3.535533906,3.596807605
42.6,3.644843137,3.733193959
42.7,3.750555348,3.597518708
42.8,3.852566214,3.858635763
42.9,3.950775062,3.812506421
43,4.045084972,4.065943315
43.1,4.135402871,4.162723875
43.2,4.221639628,4.409575979
43.3,4.303710135,4.41028734
43.4,4.3815334,4.272055968
43.5,4.455032621,4.445801672
43.6,4.524135262,4.722298627
43.7,4.588773128,4.591043961
43.8,4.648882429,4.654698777
43.9,4.704403845,4.571679916
44,4.755282581,4.735511442
44.1,4.801468428,4.756213599
44.2,4.842915806,4.967696979
44.3,4.87958381,4.784987664
44.4,4.911436254,4.615998396
44.5,4.938441703,4.804677456
44.6,4.960573507,4.933723421
44.7,4.977809823,4.949716907
44.8,4.990133642,4.857755202
44.9,4.997532802,5.026086016
45,5,4.853276908
45.1,4.997532802,4.764816415
45.2,4.990133642,5.244190438
45.3,4.977809823,4.885630608
45.4,4.960573507,4.951223518
45.5,4.938441703,4.923173095
45.6,4.911436254,4.801702301
45.7,4.87958381,4.786135044
45.8,4.842915806,4.815276984
45.9,4.801468428,4.691044543
46,4.755282581,4.683529265
46.1,4.704403845,4.691479696
46.2,4.648882429,4.614180411
46.3,4.588773128,4.489529749
46.4,4.524135262,4.631983265
46.5,4.455032621,4.507354447
46.6,4.3815334,4.35085654
46.7,4.303710135,4.100044963
46.8,4.221639628,4.119968049
46.9,4.135402871,4.142935919
47,4.045084972,4.138632717
47.1,3.950775062,3.867151154
47.2,3.852566214,3.706664075
47.3,3.750555348,3.779981383
47.4,3.644843137,3.547250566
47.5,3.535533906,3.608785678
47.6,3.42273553,3.389426517
47.7,3.306559327,3.42653853
47.8,3.187119949,3.191303327
47.9,3.064535268,3.062197344
48,2.938926261,3.040279759
48.1,2.810416889,2.707811757
48.2,2.679133975,2.691672597
48.3,2.545207079,2.607858514
48.4,2.408768371,2.473052113
48.5,2.269952499,2.269846454
48.6,2.128896458,1.966164227
48.7,1.985739453,1.97627916
48.8,1.840622763,1.788223318
48.9,1.693689601,1.767539772
49,1.545084972,1.660227315
49.1,1.39495553,1.290510583
49.2,1.243449436,1.257122626
49.3,1.090716207,1.130425215
49.4,0.936906573,0.927188447
49.5,0.782172325,0.887573433
49.6,0.626666168,0.526996633
49.7,0.470541567,0.463216832
49.8,0.313952598,0.325024106
49.9,0.157053795,0.04719217
50,3.06161699786838e-15,-0.055204689
50.1,-0.157053795,-0.279353654
50.2,-0.313952598,-0.334080781
50.3,-0.470541567,-0.486723086
50.4,-0.626666168,-0.523105207
50.5,-0.782172325,-0.807964744
50.6,-0.936906573,-0.888038941
50.7,-1.090716207,-1.187106716
50.8,-1.243449436,-1.177461178
50.9,-1.39495553,-1.417541038
51,-1.545084972,-1.547082248
51.1,-1.693689601,-1.608580046
51.2,-1.840622763,-1.92549995
51.3,-1.985739453,-2.030041511
51.4,-2.128896458,-2.039401325
51.5,-2.269952499,-2.350595488
51.6,-2.408768371,-2.354864618
51.7,-2.545207079,-2.515535062
51.8,-2.679133975,-2.660789695
51.9,-2.810416889,-2.642029049
52,-2.938926261,-2.8713852
52.1,-3.064535268,-3.241325383
52.2,-3.187119949,-3.22984539
52.3,-3.306559327,-3.235152851
52.4,-3.42273553,-3.330541882
52.5,-3.535533906,-3.574449822
52.6,-3.644843137,-3.837735209
52.7,-3.750555348,-3.743195373
52.8,-3.852566214,-3.902259744
52.9,-3.950775062,-3.856035591
53,-4.045084972,-4.178943826
53.1,-4.135402871,-4.233550977
53.2,-4.221639628,-4.255540654
53.3,-4.303710135,-4.369171746
53.4,-4.3815334,-4.433650248
53.5,-4.455032621,-4.531972753
53.6,-4.524135262,-4.462285355
53.7,-4.588773128,-4.541103274
53.8,-4.648882429,-4.671334549
53.9,-4.704403845,-4.786753454
54,-4.755282581,-4.777960709
54.1,-4.801468428,-4.639731856
54.2,-4.842915806,-4.998802978
54.3,-4.87958381,-5.010255027
54.4,-4.911436254,-4.894536404
54.5,-4.938441703,-5.000271238
54.6,-4.960573507,-4.945923649
54.7,-4.977809823,-5.10070009
54.8,-4.990133642,-4.960710322
54.9,-4.997532802,-4.949608661
55,-5,-4.934947352
55.1,-4.997532802,-5.018723404
55.2,-4.990133642,-4.808759181
55.3,-4.977809823,-4.94679491
55.4,-4.960573507,-4.982473434
55.5,-4.938441703,-5.078136181
55.6,-4.911436254,-4.953356592
55.7,-4.87958381,-4.982092724
55.8,-4.842915806,-5.054997239
55.9,-4.801468428,-4.808515184
56,-4.755282581,-4.73556059
56.1,-4.704403845,-4.507911035
56.2,-4.648882429,-4.735372969
56.3,-4.588773128,-4.620249717
56.4,-4.524135262,-4.407955248
56.5,-4.455032621,-4.488938031
56.6,-4.3815334,-4.363940016
56.7,-4.303710135,-4.237878859
56.8,-4.221639628,-4.189146453
56.9,-4.135402871,-4.099969719
57,-4.045084972,-4.013528227
57.1,-3.950775062,-3.919757631
57.2,-3.852566214,-3.799058149
57.3,-3.750555348,-3.613114324
57.4,-3.644843137,-3.659035349
57.5,-3.535533906,-3.726376687
57.6,-3.42273553,-3.431418246
57.7,-3.306559327,-3.353996291
57.8,-3.187119949,-3.124367042
57.9,-3.064535268,-2.798724579
58,-2.938926261,-2.797171602
58.1,-2.810416889,-2.780012662
58.2,-2.679133975,-2.831063222
58.3,-2.545207079,-2.452796528
58.4,-2.408768371,-2.402997835
58.5,-2.269952499,-2.130419994
58.6,-2.128896458,-2.212438899
58.7,-1.985739453,-1.857367561
58.8,-1.840622763,-1.874003843
58.9,-1.693689601,-1.519180384
59,-1.545084972,-1.727463596
59.1,-1.39495553,-1.355581836
59.2,-1.243449436,-1.213549879
59.3,-1.090716207,-1.199151011
59.4,-0.936906573,-0.870924894
59.5,-0.782172325,-0.776677191
59.6,-0.626666168,-0.594009165
59.7,-0.470541567,-0.238088453
59.8,-0.313952598,-0.249660309
59.9,-0.157053795,-0.040432397
60,-3.67E-15,0.260293094
60.1,0.157053795,0.148617014
60.2,0.313952598,0.42625373
60.3,0.470541567,0.693179867
60.4,0.626666168,0.58477243
60.5,0.782172325,0.767836959
60.6,0.936906573,0.973665206
60.7,1.090716207,1.160720597
60.8,1.243449436,1.206008496
60.9,1.39495553,1.452890314
61,1.545084972,1.519970224
61.1,1.693689601,1.561505993
61.2,1.840622763,1.767400132
61.3,1.985739453,2.044170264
61.4,2.128896458,2.171958153
61.5,2.269952499,2.311780124
61.6,2.408768371,2.480415244
61.7,2.545207079,2.476643871
61.8,2.679133975,2.713522753
61.9,2.810416889,2.928316936
62,2.938926261,2.916188244
62.1,3.064535268,3.157248809
62.2,3.187119949,3.499519342
62.3,3.306559327,3.238559317
62.4,3.42273553,3.436745178
62.5,3.535533906,3.536469684
62.6,3.644843137,3.66467134
62.7,3.750555348,3.742695492
62.8,3.852566214,3.688417367
62.9,3.950775062,4.036051614
63,4.045084972,3.839705266
63.1,4.135402871,4.256680899
63.2,4.221639628,4.11050454
63.3,4.303710135,4.235236564
63.4,4.3815334,4.328799753
63.5,4.455032621,4.406452497
63.6,4.524135262,4.55723729
63.7,4.588773128,4.569711963
63.8,4.648882429,4.705296923
63.9,4.704403845,4.698899855
64,4.755282581,4.824649485
64.1,4.801468428,4.810590873
64.2,4.842915806,4.714668886
64.3,4.87958381,4.799162436
64.4,4.911436254,5.000501895
64.5,4.938441703,4.765506872
64.6,4.960573507,4.878794283
64.7,4.977809823,4.977733628
64.8,4.990133642,5.028374258
64.9,4.997532802,4.95546022
65,5,4.940244107
65.1,4.997532802,4.931596764
65.2,4.990133642,4.953757982
65.3,4.977809823,5.055197911
65.4,4.960573507,4.940555621
65.5,4.938441703,5.006284438
65.6,4.911436254,4.955412787
65.7,4.87958381,4.937461198
65.8,4.842915806,4.903541249
65.9,4.801468428,4.787262704
66,4.755282581,4.522328453
66.1,4.704403845,4.563093108
66.2,4.648882429,4.798437886
66.3,4.588773128,4.525411632
66.4,4.524135262,4.501835586
66.5,4.455032621,4.552933922
66.6,4.3815334,4.299153886
66.7,4.303710135,4.232635134
66.8,4.221639628,4.161385079
66.9,4.135402871,4.15397033
67,4.045084972,4.023401976
67.1,3.950775062,3.920432533
67.2,3.852566214,3.889049703
67.3,3.750555348,3.758711557
67.4,3.644843137,3.735777142
67.5,3.535533906,3.399298389
67.6,3.42273553,3.37806601
67.7,3.306559327,3.464909604
67.8,3.187119949,3.154337826
67.9,3.064535268,3.215642154
68,2.938926261,2.954956674
68.1,2.810416889,2.839404024
68.2,2.679133975,2.723212623
68.3,2.545207079,2.613284929
68.4,2.408768371,2.35081268
68.5,2.269952499,2.247299036
68.6,2.128896458,2.03501299
68.7,1.985739453,1.96251066
68.8,1.840622763,1.704906708
68.9,1.693689601,1.75881384
69,1.545084972,1.577201532
69.1,1.39495553,1.453460934
69.2,1.243449436,1.266814939
69.3,1.090716207,0.975737309
69.4,0.936906573,1.025376801
69.5,0.782172325,0.834322947
69.6,0.626666168,0.688164015
69.7,0.470541567,0.466237448
69.8,0.313952598,0.491485948
69.9,0.157053795,0.206826688
70,4.28626379701574e-15,0.002605377
70.1,-0.157053795,-0.16537545
70.2,-0.313952598,-0.455165841
70.3,-0.470541567,-0.417920326
70.4,-0.626666168,-0.754795301
70.5,-0.782172325,-0.6879276
70.6,-0.936906573,-1.076133094
70.7,-1.090716207,-0.998365782
70.8,-1.243449436,-1.206531737
70.9,-1.39495553,-1.382403351
71,-1.545084972,-1.585762555
71.1,-1.693689601,-1.917462034
71.2,-1.840622763,-1.860566896
71.3,-1.985739453,-2.082122003
71.4,-2.128896458,-2.180181928
71.5,-2.269952499,-2.314652618
71.6,-2.408768371,-2.360560016
71.7,-2.545207079,-2.625501928
71.8,-2.679133975,-2.583384494
71.9,-2.810416889,-2.772442847
72,-2.938926261,-3.051406636
72.1,-3.064535268,-3.080910399
72.2,-3.187119949,-3.252629442
72.3,-3.306559327,-3.473912747
72.4,-3.42273553,-3.577590706
72.5,-3.535533906,-3.544699113
72.6,-3.644843137,-3.853746885
72.7,-3.750555348,-3.743597267
72.8,-3.852566214,-3.777336969
72.9,-3.950775062,-4.031242712
73,-4.045084972,-3.924405079
73.1,-4.135402871,-4.071614808
73.2,-4.221639628,-4.414438279
73.3,-4.303710135,-4.541510181
73.4,-4.3815334,-4.3885008
73.5,-4.455032621,-4.466897094
73.6,-4.524135262,-4.548846535
73.7,-4.588773128,-4.456004137
73.8,-4.648882429,-4.603980205
73.9,-4.704403845,-4.596365386
74,-4.755282581,-4.765730356
74.1,-4.801468428,-4.866043191
74.2,-4.842915806,-4.879249991
74.3,-4.87958381,-4.8489042
74.4,-4.911436254,-4.860404304
74.5,-4.938441703,-5.048289633
74.6,-4.960573507,-5.005939288
74.7,-4.977809823,-5.09543378
74.8,-4.990133642,-4.909666383
74.9,-4.997532802,-5.125901952
75,-5,-5.153682026
75.1,-4.997532802,-5.0404015
75.2,-4.990133642,-4.993486193
75.3,-4.977809823,-5.034021145
75.4,-4.960573507,-4.759725346
75.5,-4.938441703,-5.055642305
75.6,-4.911436254,-4.875387484
75.7,-4.87958381,-4.855610992
75.8,-4.842915806,-4.731244999
75.9,-4.801468428,-4.795718093
76,-4.755282581,-4.719746393
76.1,-4.704403845,-4.778827635
76.2,-4.648882429,-4.481889119
76.3,-4.588773128,-4.653053664
76.4,-4.524135262,-4.590496344
76.5,-4.455032621,-4.442486448
76.6,-4.3815334,-4.318183089
76.7,-4.303710135,-4.355521786
76.8,-4.221639628,-4.206772044
76.9,-4.135402871,-4.221696092
77,-4.045084972,-4.063222842
77.1,-3.950775062,-3.929158663
77.2,-3.852566214,-3.7380107
77.3,-3.750555348,-3.683256809
77.4,-3.644843137,-3.628329151
77.5,-3.535533906,-3.560368425
77.6,-3.42273553,-3.461055043
77.7,-3.306559327,-3.341750726
77.8,-3.187119949,-3.17482971
77.9,-3.064535268,-2.971498211
78,-2.938926261,-2.988222378
78.1,-2.810416889,-2.87134033
78.2,-2.679133975,-2.74552431
78.3,-2.545207079,-2.454415402
78.4,-2.408768371,-2.554347434
78.5,-2.269952499,-2.429346426
78.6,-2.128896458,-2.07922656
78.7,-1.985739453,-1.999699369
78.8,-1.840622763,-1.627074169
78.9,-1.693689601,-1.805934196
79,-1.545084972,-1.538405726
79.1,-1.39495553,-1.326030822
79.2,-1.243449436,-1.108824916
79.3,-1.090716207,-0.999774826
79.4,-0.936906573,-0.892718286
79.5,-0.782172325,-0.826009861
79.6,-0.626666168,-0.851602813
79.7,-0.470541567,-0.700267311
79.8,-0.313952598,-0.273165211
79.9,-0.157053795,-0.199712508
80,-4.90E-15,-0.026619073
80.1,0.157053795,0.060052608
80.2,0.313952598,0.281087178
80.3,0.470541567,0.525995062
80.4,0.626666168,0.722695893
80.5,0.782172325,0.723009865
80.6,0.936906573,0.915582006
80.7,1.090716207,1.068470352
80.8,1.243449436,1.245282905
80.9,1.39495553,1.454219558
81,1.545084972,1.612596379
81.1,1.693689601,1.701435999
81.2,1.840622763,1.758516371
81.3,1.985739453,2.085426636
81.4,2.128896458,2.254240814
81.5,2.269952499,2.171004881
81.6,2.408768371,2.367169372
81.7,2.545207079,2.357738244
81.8,2.679133975,2.616760482
81.9,2.810416889,2.835176954
82,2.938926261,2.885199377
82.1,3.064535268,3.194884478
82.2,3.187119949,3.207140182
82.3,3.306559327,3.304546711
82.4,3.42273553,3.460955376
82.5,3.535533906,3.437496883
82.6,3.644843137,3.669977818
82.7,3.750555348,3.807403654
82.8,3.852566214,3.873601742
82.9,3.950775062,4.125430638
83,4.045084972,3.987283199
83.1,4.135402871,4.096216414
83.2,4.221639628,4.328104232
